"Flat 8,18/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5320000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 1,19/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",4970000.0,391.0,304.0,35.0,10 Oct 2018
"Flat 2,19/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7800000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 5,19/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",8080000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 8,19/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5360000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,19/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5360000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,19/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5360000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 1,20/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5000000.0,391.0,304.0,35.0,10 Oct 2018
"Flat 2,20/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7850000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 3,20/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7920000.0,584.0,460.0,35.0,10 Oct 2018
"Flat 4,20/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5830000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 6,20/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7700000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 8,20/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5400000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,20/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5400000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,20/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5400000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 1,21/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5040000.0,391.0,304.0,35.0,10 Oct 2018
"Flat 5,21/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",8200000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 8,21/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5440000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,21/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5440000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,21/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5440000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 2,22/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7970000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 3,22/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",8030000.0,584.0,460.0,35.0,10 Oct 2018
"Flat 4,22/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5910000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 5,22/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",8250000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 6,22/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7810000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 7,22/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5460000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,22/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5480000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,22/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5480000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,22/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5480000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 2,23/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",8020000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 5,23/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",8310000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 6,23/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7870000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 7,23/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5490000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,23/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5510000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,23/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5510000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,23/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5510000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 5,24/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",8370000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 7,24/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5530000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,24/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5550000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,24/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5550000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,24/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5550000.0,422.0,325.0,35.0,10 Oct 2018
